Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
COINCO;7.359;458;486;458;514;479;515;461;493;439;507;557;499;424;331;274;232;120;65;30;9;8
COLTAUCO;19.597;1.310;1.433;1.347;1.401;1.426;1.430;1.218;1.243;1.316;1.274;1.403;1.277;1.071;833;610;436;284;196;69;17;3
DOÑIHUE;20.887;1.428;1.529;1.546;1.468;1.448;1.496;1.403;1.482;1.455;1.435;1.420;1.250;1.134;832;600;436;284;178;45;16;2
GRANEROS;33.437;2.559;2.680;2.523;2.402;2.469;2.635;2.448;2.330;2.297;2.218;2.264;1.969;1.450;1.113;886;534;385;205;52;10;8
LAS CABRAS;24.640;1.532;1.790;1.564;1.602;1.566;1.787;1.619;1.669;1.733;1.738;1.945;1.605;1.326;1.007;811;594;404;225;90;25;8
MACHALÍ;52.505;4.293;4.493;4.143;3.696;2.741;3.656;4.097;4.654;4.522;3.619;3.253;2.788;2.227;1.637;1.180;670;433;272;100;22;9
MALLOA;13.407;805;871;873;902;954;1.010;819;791;870;924;1.089;941;738;602;503;319;204;130;47;14;1
MOSTAZAL;25.343;1.781;1.931;1.801;1.907;1.839;1.909;1.586;1.693;1.786;1.687;1.740;1.616;1.242;981;756;505;317;179;68;11;8
OLIVAR;13.608;930;1.021;928;1.055;936;1.011;886;886;1.030;987;914;840;743;516;376;252;158;94;34;7;4
PEUMO;14.313;859;988;965;901;949;1.103;930;943;987;1.005;1.131;944;782;626;475;329;201;122;50;17;6
PICHIDEGUA;19.714;1.229;1.306;1.250;1.239;1.215;1.313;1.234;1.249;1.354;1.550;1.553;1.339;1.201;944;672;462;315;192;78;16;3
QUINTA DE TILCOCO;13.002;774;865;880;826;793;1.001;920;844;870;930;1.058;883;691;597;430;279;184;118;45;12;2
RENGO;58.825;3.996;4.341;4.182;4.098;4.127;4.796;4.143;3.944;3.923;4.019;4.080;3.572;2.869;2.277;1.792;1.223;712;476;178;62;15
REQUÍNOA;27.968;1.982;2.099;1.997;2.051;2.000;2.146;1.858;1.848;2.146;2.098;2.032;1.698;1.276;971;717;499;296;160;73;15;6
SAN VICENTE;46.766;2.835;3.315;3.064;3.050;2.715;3.395;3.080;3.141;3.321;3.227;3.643;3.115;2.624;2.010;1.630;1.133;755;496;147;56;14
PICHILEMU;16.394;1.001;1.072;1.027;972;853;1.257;1.231;1.140;1.149;1.173;1.229;1.157;944;743;553;407;267;150;53;15;1
LA ESTRELLA;3.041;131;179;182;151;143;176;198;176;205;227;260;262;211;176;143;98;52;43;24;1;3
LITUECHE;6.294;358;416;381;355;374;440;427;359;431;477;484;455;361;347;243;169;117;68;23;8;1
MARCHIHUE;7.308;392;407;458;433;407;459;471;446;541;560;579;528;428;385;300;231;137;96;38;9;3
NAVIDAD;6.641;373;370;325;343;294;416;405;378;367;470;521;520;445;415;380;264;185;118;43;6;3
PAREDONES;6.188;287;345;347;343;308;352;334;346;439;518;510;491;389;317;281;246;175;95;48;14;3
SAN FERNANDO;73.973;5.137;5.505;5.140;5.317;4.679;5.599;5.182;4.981;5.183;5.013;5.277;4.587;3.703;2.813;2.277;1.604;1.005;649;243;66;13
CHÉPICA;15.037;962;972;928;911;932;1.085;1.003;973;1.028;1.065;1.118;1.032;853;705;551;396;264;171;61;20;7
CHIMBARONGO;35.399;2.289;2.507;2.424;2.460;2.398;2.530;2.282;2.320;2.623;2.447;2.811;2.311;1.784;1.423;1.101;772;489;288;107;19;14
LOLOL;6.811;350;425;402;425;356;461;434;444;484;520;511;430;390;358;318;210;148;106;25;11;3
NANCAGUA;17.833;1.124;1.243;1.215;1.210;1.169;1.373;1.152;1.198;1.256;1.203;1.423;1.113;929;684;605;428;262;164;56;20;6
PALMILLA;12.482;756;786;797;755;740;905;854;834;942;925;1.001;907;703;502;424;294;197;106;42;9;3
PERALILLO;11.007;630;658;726;675;613;760;768;711;823;831;862;751;590;523;405;299;201;125;40;11;5
PLACILLA;8.738;529;554;590;557;586;619;530;551;647;591;714;637;465;390;281;217;130;109;30;8;3
PUMANQUE;3.421;155;173;159;205;201;244;211;204;225;241;273;251;230;201;165;116;80;58;18;10;1
SANTA CRUZ;37.855;2.458;2.557;2.499;2.466;2.166;2.792;2.757;2.689;2.752;2.766;2.732;2.388;1.978;1.586;1.183;900;632;379;114;39;22
TALCA;220.357;14.035;14.239;14.003;17.101;20.198;18.276;14.797;13.634;14.509;13.926;14.859;13.209;11.249;8.908;6.942;4.627;3.019;1.875;693;185;73
CONSTITUCIÓN;46.068;3.388;3.360;3.418;3.178;3.010;3.724;3.125;3.239;3.397;3.131;3.277;2.829;2.328;1.719;1.207;814;481;297;96;38;12
CUREPTO;9.448;423;511;524;564;479;529;500;546;646;657;723;726;686;536;432;428;286;161;72;17;2
EMPEDRADO;4.142;244;303;286;262;277;301;276;311;325;334;251;248;199;163;142;96;68;37;14;0;5
MAULE;49.721;4.400;4.552;3.962;3.677;3.464;4.121;4.249;4.187;3.739;3.212;2.867;2.214;1.708;1.227;927;563;354;192;76;23;7
PELARCO;8.422;583;529;537;536;604;633;490;489;572;585;630;534;474;392;315;207;178;83;39;6;6
